T,abs,frac,err
0.08,439.07 , 0.9757111111111111 , 0.0025643239997626007
0.15,435.0 , 0.9666666666666667 , 0.0
0.24,427.68 , 0.9504 , 0.015562191946567796
0.28,390.33 , 0.8674 , 0.03162453337380827
0.32,315.4 , 0.7008888888888888 , 0.08205689083394113
0.34,276.23 , 0.6138444444444445 , 0.06752261125210596
0.36,239.51 , 0.5322444444444444 , 0.08687033179086259
0.37,214.09 , 0.47575555555555554 , 0.10236688819134733
0.40,159.43 , 0.35428888888888893 , 0.09063474259717717
0.45,92.31 , 0.20513333333333333 , 0.08163351213215259
0.55,44.71 , 0.09935555555555556 , 0.053054098557391155
0.60,21.95 , 0.048777777777777774 , 0.04593308703808709
0.70,10.7 , 0.023777777777777776 , 0.03494584555010969
