T,abs,frac,err
0.10 , 436.0 , 0.9688888888888889 , 0.0
0.15 , 438.87 , 0.9752666666666666 , 0.000873891437861518
0.20 , 435.96 , 0.9688 , 0.00043765863459318584
0.25 , 423.53999999999996 , 0.9411999999999999 , 0.0037160736190953426
0.30 , 352.02 , 0.7822666666666667 , 0.010297870673906858
0.33 , 305.29999999999995 , 0.6784444444444444 , 0.01467781775186122
0.36 , 238.64 , 0.5303111111111111 , 0.018068663980277393
0.37 , 216.34 , 0.48075555555555555 , 0.017489868444096272
0.40 , 162.84 , 0.36186666666666667 , 0.017670043935284853
0.45 , 93.8 , 0.20844444444444443 , 0.017665187805596866
0.50 , 55.72 , 0.12382222222222222 , 0.012787479847607745
0.52 , 43.28 , 0.09617777777777778 , 0.014033540781506025
0.60 , 21.98 , 0.04884444444444445 , 0.008592012055159401
0.70 , 11.89 , 0.026422222222222222 , 0.006751388341978819
0.80 , 7.11 , 0.0158 , 0.006276618090595756
