T,abs,frac,err
0.10 , 438.0 , 0.9733333333333334 , 0.0
0.20 , 438.79 , 0.9750888888888889 , 0.0009096892905340324
0.30 , 348.47 , 0.7743777777777778 , 0.014599290879228738
0.36 , 232.53000000000003 , 0.5167333333333334 , 0.013089636010757764
0.37 , 220.68 , 0.4904 , 0.015044946585409506
0.40 , 163.47 , 0.3632666666666667 , 0.016516585775713286
0.50 , 53.77 , 0.1194888888888889 , 0.01383585384886484
0.60 , 22.02 , 0.048933333333333336 , 0.008983669767088517
0.70 , 10.97 , 0.02437777777777778 , 0.007550503361372737
0.80 , 6.3100000000000005 , 0.014022222222222222 , 0.00580426459314746
